segment	speaker	timestamp
1	lizaibei	2021-12-27 18:57:25.008044
2	lizaibei	2021-12-27 18:57:27.982937
3	silent	2021-12-27 18:57:30.883934
4	lizaibei	2021-12-27 18:57:34.014632
5	lizaibei	2021-12-27 18:57:36.941921
6	lizaibei	2021-12-27 18:57:39.908265
7	lizaibei	2021-12-27 18:57:42.915368
8	lizaibei	2021-12-27 18:57:45.905657
9	lizaibei	2021-12-27 18:57:48.890929
10	lizaibei	2021-12-27 18:57:51.885948
11	lizaibei	2021-12-27 18:57:54.830964
12	lizaibei	2021-12-27 18:57:57.824027
